date,settlement_corridor,fx_corridor,fx_corridor,settlement_risk,p50_delay_min,extreme_delay_min,fx_risk,fx_slippage_bps,fx_regime_num
2016-03-16,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.2,3.3591856519631604,0
2016-03-17,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.71,3.213766359670383,0
2016-03-18,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.34,3.4028114396509936,0
2016-03-21,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.91,3.2719340765874936,0
2016-03-22,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.37,3.111972855065438,0
2016-03-23,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.84,2.9520116335433837,0
2016-03-24,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.45,2.835676199709161,0
2016-03-25,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.82,2.6466311197285504,0
2016-03-28,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.1,2.4285021812893843,0
2016-03-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,7.8,2.341250605913718,0
2016-03-30,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,7.37,2.2103732428502183,0
2016-03-31,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.93,2.0794958797867187,0
2016-04-01,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.5,1.9486185167232184,0
2016-04-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.4,1.9195346582646635,0
2016-04-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.16,2.748424624333495,0
2016-04-04,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.13,3.0392632089190497,0
2016-04-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.07,3.62094037809016,0
2016-04-07,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.46,3.737275811924382,0
2016-04-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.23,3.969946679592826,0
2016-04-10,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.33,3.999030538051382,0
2016-04-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.8,3.839069316529327,0
2016-04-13,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.17,3.650024236548716,0
2016-04-14,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.39,3.417353368880271,0
2016-04-15,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.76,3.228308288899661,0
2016-04-18,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.28,3.0828889966068838,0
2016-04-19,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.65,2.893843916626272,0
2016-04-20,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.31,2.792050412021328,0
2016-04-21,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.63,2.58846340281144,0
2016-04-22,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.39,2.5157537566650507,0
2016-04-25,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,7.9,2.3703344643722737,0
2016-04-26,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,7.46,2.2394571013087736,0
2016-04-27,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,7.08,2.1231216674745514,0
2016-04-28,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.64,1.992244304411052,0
2016-04-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.35,1.9049927290353852,0
2016-05-01,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.06,1.817741153659719,0
2016-05-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,5.87,1.759573436742608,0
2016-05-04,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.42,3.1265147842947165,0
2016-05-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.06,5.118759088705768,0
2016-05-07,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.43,4.929714008725158,0
2016-05-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.94,5.380513814832768,0
2016-05-09,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.13,5.438681531749879,0
2016-05-10,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.5,5.249636451769268,0
2016-05-12,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.77,5.0315075133301015,0
2016-05-13,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,21.28,6.383906931652932,0
2016-05-16,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,22.93,6.878332525448376,0
2016-05-17,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,22.39,6.718371303926321,0
2016-05-18,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,21.96,6.587493940862821,0
2016-05-19,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,21.52,6.456616577799322,0
2016-05-20,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,21.62,6.485700436257877,0
2016-05-23,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,21.18,6.354823073194377,0
2016-05-24,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,20.84,6.253029568589433,0
2016-05-25,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,20.46,6.136694134755211,0
2016-05-26,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,20.07,6.020358700920989,0
2016-05-27,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.83,5.9476490547746,0
2016-05-30,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.1,5.729520116335435,0
2016-05-31,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.52,5.555016965584101,0
2016-06-01,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.89,5.36597188560349,0
2016-06-04,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.64,5.293262239457101,0
2016-06-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.97,5.089675230247213,0
2016-06-06,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.24,4.871546291808047,0
2016-06-07,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.46,4.638875424139602,0
2016-06-09,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.38,4.91517207949588,0
2016-06-10,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.39,5.8167716917111,0
2016-06-12,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.24,5.773145904023266,0
2016-06-13,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,20.75,6.223945710130877,0
2016-06-14,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,20.79,6.238487639360155,0
2016-06-15,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,20.36,6.107610276296655,0
2016-06-16,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.92,5.976732913233156,0
2016-06-17,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.49,5.845855550169656,0
2016-06-20,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.05,5.714978187106157,0
2016-06-21,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.86,5.656810470189045,0
2016-06-22,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.32,5.49684924866699,0
2016-06-23,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.79,5.336888027144934,0
2016-06-24,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.11,5.133301017935046,0
2016-06-27,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.26,5.176926805622879,0
2016-06-28,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.58,4.973339796412991,0
2016-06-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.51,4.65341735336888,0
2016-06-30,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.22,4.566165777993214,0
2016-07-01,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.3,4.2898691226369365,0
2016-07-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.04,4.813378574890935,0
2016-07-04,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.17,4.551623848763936,0
2016-07-06,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.49,4.348036839554047,0
2016-07-07,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.57,4.07174018419777,0
2016-07-09,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.75,4.7261269995152695,0
2016-07-10,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.66,5.598642753271934,0
2016-07-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.03,5.409597673291324,0
2016-07-12,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.35,5.206010664081435,0
2016-07-13,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.42,5.525933107125545,0
2016-07-14,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.37,5.511391177896268,0
2016-07-15,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.74,5.3223460979156565,0
2016-07-18,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.21,5.1623848763936016,0
2016-07-19,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.48,4.944255937954436,0
2016-07-20,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.37,4.609791565681047,0
2016-07-21,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.35,4.304411051866214,0
2016-07-22,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.43,4.028114396509936,0
2016-07-25,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.55,3.7663596703829376,0
2016-07-26,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.92,3.5773145904023265,0
2016-07-27,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.15,3.3446437227338826,0
2016-07-28,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.66,3.199224430441105,0
2016-07-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.23,3.068347067377605,0
2016-08-01,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.74,2.922927775084828,0
2016-08-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.11,2.733882695104217,0
2016-08-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.18,3.955404750363548,0
2016-08-04,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.25,4.275327193407659,0
2016-08-06,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.29,4.886088221037324,0
2016-08-07,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.08,4.52253999030538,0
2016-08-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.85,4.755210857973824,0
2016-08-09,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.12,4.537081919534658,0
2016-08-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.59,4.377120698012603,0
2016-08-12,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.72,4.115365971885604,0
2016-08-15,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.16,5.147842947164324,0
2016-08-16,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.4,5.220552593310713,0
2016-08-17,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.67,5.002423654871546,0
2016-08-18,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.66,4.697043141056714,0
2016-08-19,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.69,4.406204556471159,0
2016-08-22,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.2,4.260785264178381,0
2016-08-23,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.28,3.984488608822104,0
2016-08-24,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.41,3.722733882695104,0
2016-08-25,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.63,3.4900630150266605,0
2016-08-26,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.95,3.2864760058167715,0
2016-08-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.32,3.097430925836161,0
2016-08-30,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.94,2.981095492001939,0
2016-08-31,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.26,2.7775084827920504,0
2016-09-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.68,2.6030053320407176,0
2016-09-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.29,3.388269510421716,0
2016-09-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.38,4.0135724672806585,0
2016-09-06,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.94,3.88269510421716,0
2016-09-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.22,3.664566165777993,0
2016-09-09,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.44,3.431895298109549,0
2016-09-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.81,3.2428502181289387,0
2016-09-12,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.47,3.1410567135239944,0
2016-09-13,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.77,4.129907901114882,0
2016-09-14,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.86,4.158991759573437,0
2016-09-15,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.99,3.897237033446437,0
2016-09-16,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.26,3.679108095007271,0
2016-09-19,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.68,3.504604944255938,0
2016-09-20,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.05,3.3155598642753272,0
2016-09-21,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.52,3.155598642753272,0
2016-09-22,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.99,2.995637421231217,0
2016-09-23,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.79,2.937469704314106,0
2016-09-26,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.21,2.7629665535627725,0
2016-09-27,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.53,2.559379544352884,0
2016-09-28,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.0,2.399418322830829,0
2016-09-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,7.51,2.253999030538051,0
2016-09-30,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,7.13,2.1376635967038293,0
2016-10-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.79,2.035870092098885,0
2016-10-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.59,3.4755210857973826,0
2016-10-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.36,3.7081919534658265,0
2016-10-06,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.09,3.926320891904993,0
2016-10-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.51,3.75181774115366,0
2016-10-10,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.73,3.519146873485216,0
2016-10-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.0,3.3010179350460493,0
2016-10-13,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.62,3.184682501211827,0
2016-10-14,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.08,3.024721279689772,0
2016-10-17,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.6,2.8793019873969947,0
2016-10-18,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.97,2.690256907416384,0
2016-10-19,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.34,2.501211827435773,0
2016-10-20,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,7.76,2.32670867668444,0
2016-10-21,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,7.42,2.224915172079496,0
2016-10-24,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.98,2.094037809015996,0
2016-10-25,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.54,1.9631604459524965,0
2016-10-26,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,6.2,1.861366941347552,0
2016-10-27,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,5.96,1.7886572952011632,0
2016-10-28,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,5.72,1.7159476490547745,0
2016-10-31,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,5.38,1.6141541444498304,0
2016-11-01,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,4.94,1.4832767813863306,0
2016-11-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,4.56,1.3669413475521086,0
2016-11-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.7,3.809985458070771,0
2016-11-04,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.58,5.874939408628212,0
2016-11-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.78,5.933107125545322,0
2016-11-07,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.2,5.758603974793989,0
2016-11-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.34,5.802229762481822,0
2016-11-10,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.0,5.700436257876879,0
2016-11-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.47,5.540475036354823,0
2016-11-14,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.69,5.307804168686379,0
2016-11-15,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.15,5.744062045564712,0
2016-11-16,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.57,5.569558894813379,0
2016-11-17,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.98,5.395055744062046,0
2016-11-18,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.3,5.191468734852157,0
2016-11-21,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.72,5.016965584100824,0
2016-11-22,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.71,4.711585070285992,0
2016-11-23,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.78,4.4352884149297145,0
2016-11-24,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.64,4.391662627241881,0
2016-11-25,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.81,4.14444983034416,0
2016-11-28,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.14,3.9408628211342704,0
2016-11-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.31,3.6936500242365486,0
2016-11-30,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.54,3.4609791565681047,0
2016-12-01,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.86,3.2573921473582166,0
2016-12-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.97,5.991274842462434,0
2016-12-04,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,21.91,6.572952011633543,0
2016-12-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,26.18,7.852641783809985,0
2016-12-07,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,25.93,7.779932137663597,0
2016-12-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,25.35,7.605428986912263,0
2016-12-09,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,24.87,7.460009694619487,0
2016-12-10,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,24.33,7.300048473097432,0
2016-12-12,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,23.65,7.096461463887542,0
2016-12-13,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,23.36,7.009209888511876,0
2016-12-14,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,22.78,6.834706737760542,0
2016-12-15,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,22.3,6.689287445467765,0
2016-12-16,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,22.15,6.645661657779932,0
2016-12-19,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,21.72,6.514784294716433,0
2016-12-20,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,21.23,6.369365002423654,0
2016-12-21,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,20.99,6.296655356277266,0
2016-12-22,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,20.5,6.151236063984489,0
2016-12-23,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,20.02,6.005816771691712,0
2016-12-26,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,19.29,5.787687833252544,0
2016-12-27,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.71,5.613184682501212,0
2016-12-28,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.08,5.424139602520601,0
2016-12-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.45,5.235094522539991,0
2016-12-30,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.92,5.075133301017935,0
2017-01-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.19,4.857004362578769,0
2017-01-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.34,4.900630150266602,0
2017-01-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.63,4.987881725642269,0
2017-01-06,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,28.11,8.434318952981096,0
2017-01-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,27.48,8.245273873000484,0
2017-01-09,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,26.9,8.070770722249152,0
2017-01-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,26.47,7.939893359185652,0
2017-01-12,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,26.37,7.910809500727097,0
2017-01-13,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,25.74,7.721764420746486,0
2017-01-16,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,49.35,14.80368395540475,1
2017-01-17,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,47.55,14.265632573921474,1
2017-01-18,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,46.19,13.858458555501697,1
2017-01-19,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,44.84,13.45128453708192,1
2017-01-20,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,43.43,13.029568589432866,1
2017-01-23,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,42.17,12.651478429471643,1
2017-01-24,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,41.11,12.331555986427531,1
2017-01-25,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,39.99,11.997091614154144,1
2017-01-26,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,38.88,11.662627241880756,1
2017-01-27,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,37.95,11.386330586524478,1
2017-01-30,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,36.74,11.022782355792536,1
2017-01-31,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,35.58,10.673776054289869,1
2017-02-01,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,34.51,10.35385361124576,1
2017-02-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,33.54,10.063015026660205,1
2017-02-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,33.35,10.004847309743091,1
2017-02-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,32.67,9.801260300533205,1
2017-02-06,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,44.6,13.37857489093553,1
2017-02-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,43.29,12.985942801745033,1
2017-02-10,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,43.09,12.92777508482792,1
2017-02-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,47.07,14.120213281628695,1
2017-02-13,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,46.63,13.989335918565196,1
